round,score,survival time,total rewards
1,0,30,-655
2,0,50,-485
3,0,27,-685
4,0,19,-355
5,0,117,-515
6,0,58,-530
7,0,37,-405
8,0,43,-565
9,0,103,-375
10,0,76,-425
11,0,364,-60
12,0,10,-585
13,0,22,-370
14,1,400,675
15,5,184,2290
16,0,36,-105
17,0,26,-10
18,1,53,350
19,4,400,4235
20,1,290,345
21,3,400,2725
22,6,400,5190
23,7,400,4600
24,2,61,520
25,3,83,995
26,2,26,250
27,1,48,385
28,0,12,-120
29,2,64,745
30,0,26,-5
31,8,400,4830
32,9,389,5030
33,3,254,2735
34,6,291,3530
35,2,120,1105
36,0,19,10
37,0,71,465
38,3,187,1740
39,4,241,2830
40,1,50,530
41,3,102,1340
42,3,156,1860
43,5,189,2590
44,8,197,2925
45,2,18,180
46,9,400,5625
47,1,37,175
48,1,45,420
49,4,137,1960
50,0,86,765
51,7,400,4865
52,4,54,720
53,8,393,5070
54,0,28,-140
55,9,400,5475
56,0,28,190
57,0,22,5
58,0,29,-20
59,3,69,765
60,4,186,2565
61,0,4,-480
62,7,352,4260
63,7,261,3465
64,0,27,-30
65,4,162,2030
66,2,51,575
67,3,120,1310
68,7,127,1905
69,0,5,-170
70,9,400,5125
71,0,19,-90
72,1,60,595
73,4,166,2365
74,4,181,2365
75,1,16,-70
76,1,41,355
77,2,40,340
78,1,19,60
79,9,400,5325
80,0,26,5
81,0,33,155
82,8,400,5690
83,5,219,2735
84,0,26,140
85,5,149,1690
86,1,37,160
87,1,54,420
88,3,129,1730
89,0,5,-170
90,0,19,25
91,0,19,-120
92,1,24,105
93,1,81,675
94,5,245,2845
95,1,18,90
96,8,329,4600
97,0,21,-85
98,6,146,2015
99,8,311,4255
100,1,36,370
101,1,39,375
102,0,33,50
103,8,360,4710
104,2,115,1540
105,4,219,2825
106,0,5,-170
107,6,181,2535
108,0,21,-115
109,8,400,5280
110,6,243,3355
111,0,41,340
112,4,145,1990
113,1,88,990
114,2,76,860
115,0,13,-175
116,8,266,4045
117,3,76,915
118,9,400,5625
119,1,59,480
120,3,58,685
121,2,64,885
122,4,116,1505
123,0,13,-265
124,3,76,1045
125,5,118,1565
126,9,400,5525
127,0,12,-270
128,3,106,1195
129,9,400,5605
130,3,168,2090
131,0,4,-580
132,4,243,2915
133,6,275,3130
134,6,343,4305
135,1,42,165
136,6,127,2040
137,9,400,5905
138,8,303,4280
139,2,67,705
140,0,20,5
141,2,120,1610
142,1,53,480
143,6,400,5125
144,3,97,1155
145,3,49,350
146,0,12,-210
147,0,5,-170
148,8,302,3840
149,2,123,1125
150,8,400,5475
151,1,42,385
152,1,84,820
153,8,284,3850
154,6,223,2880
155,0,13,-55
156,1,32,75
157,0,83,805
158,1,59,605
159,9,400,5875
160,0,37,75
161,0,6,-170
162,0,55,195
163,0,75,400
164,1,17,15
165,0,7,-175
166,1,40,370
167,1,109,1010
168,3,105,1205
169,2,82,860
170,0,61,640
171,8,400,5025
172,0,12,-200
173,4,114,975
174,8,400,5600
175,0,49,270
176,0,6,-240
177,1,23,85
178,4,59,790
179,3,125,1405
180,3,68,820
181,0,26,85
182,8,400,5410
183,2,78,775
184,4,197,2265
185,3,73,985
186,0,37,275
187,1,89,935
188,2,68,770
189,2,66,715
190,7,345,4230
191,2,93,870
192,0,6,-170
193,2,58,700
194,1,57,565
195,0,4,-480
196,4,67,895
197,1,37,275
198,7,400,6080
199,2,64,625
200,5,134,1770
